# Tau(ps)_opm,3D_MSD_Einstein(angstrom^2)_opm
2.962452600000000166e+04,1.005560772508788068e+04
2.974952400000000125e+04,1.005321884384137047e+04
2.987452200000000084e+04,1.001137117485770068e+04
2.999952000000000044e+04,1.003624328264858741e+04
3.012451800000000003e+04,9.974193821058786853e+03
3.024951599999999962e+04,9.781288306130856654e+03
3.037451400000000285e+04,9.804509058460011147e+03
3.049951200000000244e+04,9.826375917476652830e+03
3.062451000000000204e+04,9.803026683588715969e+03
3.074950800000000163e+04,9.752339900641803979e+03
3.087450600000000122e+04,9.708532400390909970e+03
3.099950400000000081e+04,9.799758278802790301e+03
3.112450200000000041e+04,9.738589380904668360e+03
3.124950000000000000e+04,9.819452045938289302e+03
3.137449799999999959e+04,9.942179060410899183e+03
3.149949600000000282e+04,9.953720250363803643e+03
3.162449400000000242e+04,9.958892267276907660e+03
3.174949200000000201e+04,9.970913788982419646e+03
3.187449000000000160e+04,9.977583181643811258e+03
3.199948800000000119e+04,1.000736093767969942e+04
3.212448600000000079e+04,1.014996046592406492e+04
3.224948400000000038e+04,1.035030704835717188e+04
3.237448199999999997e+04,1.046936221934752757e+04
3.249947999999999956e+04,1.060943945941647871e+04
3.262447800000000279e+04,1.076648570538274180e+04
3.274947600000000239e+04,1.085864458195915358e+04
3.287447400000000198e+04,1.086463554782496794e+04
3.299947200000000157e+04,1.107591941405398757e+04
3.312447000000000116e+04,1.115964018581200435e+04
3.324946800000000076e+04,1.104522009938445808e+04
3.337446600000000035e+04,1.113098453446802341e+04
3.349946399999999994e+04,1.118934703675541277e+04
3.362446199999999953e+04,1.121725825191150398e+04
3.374945999999999913e+04,1.133338749520058445e+04
3.387445799999999872e+04,1.140031050003770906e+04
3.399945599999999831e+04,1.139461111380063812e+04
3.412445399999999790e+04,1.126027117688848011e+04
3.424945200000000477e+04,1.108626373587389935e+04
3.437445000000000437e+04,1.101236110212082895e+04
3.449944800000000396e+04,1.097218785712374483e+04
3.462444600000000355e+04,1.099396776798625797e+04
3.474944400000000314e+04,1.085428461215520292e+04
3.487444200000000274e+04,1.084267073324923149e+04
3.499944000000000233e+04,1.084947973611796078e+04
3.512443800000000192e+04,1.104155885716591365e+04
3.524943600000000151e+04,1.118321778131936844e+04
3.537443400000000111e+04,1.134532427769696915e+04
3.549943200000000070e+04,1.137865454510346171e+04
3.562443000000000029e+04,1.138142544103273758e+04
3.574942799999999988e+04,1.135858125361088423e+04
3.587442599999999948e+04,1.139037811746657644e+04
3.599942399999999907e+04,1.134728466164098791e+04
3.612442199999999866e+04,1.139527043314575349e+04
3.624941999999999825e+04,1.143445898661484534e+04
3.637441799999999785e+04,1.143470444875807334e+04
3.649941600000000471e+04,1.144176372045932658e+04
3.662441400000000431e+04,1.147134933275763615e+04
3.674941200000000390e+04,1.150962247374430626e+04
3.687441000000000349e+04,1.160448582491312845e+04
3.699940800000000309e+04,1.150571713390074183e+04
3.712440600000000268e+04,1.139878815616438624e+04
3.724940400000000227e+04,1.139408711811332068e+04
3.737440200000000186e+04,1.144736974744518193e+04
3.749940000000000146e+04,1.139920234317504219e+04
3.762439800000000105e+04,1.125777994493370716e+04
3.774939600000000064e+04,1.123546877244661118e+04
3.787439400000000023e+04,1.100757254295989696e+04
3.799939199999999983e+04,1.072563392677628144e+04
3.812438999999999942e+04,1.053316311293398940e+04
3.824938799999999901e+04,1.039531319467703543e+04
3.837438599999999860e+04,1.030255657589884322e+04
3.849938399999999820e+04,1.014408155635554976e+04
3.862438200000000506e+04,9.948917929498180456e+03
3.874938000000000466e+04,9.800916132921371172e+03
3.887437800000000425e+04,9.813286777026809432e+03
3.899937600000000384e+04,9.846652739246661440e+03
3.912437400000000343e+04,9.860059754181091193e+03
3.924937200000000303e+04,9.852286110175224167e+03
3.937437000000000262e+04,9.842821504634504890e+03
3.949936800000000221e+04,9.965491038127005595e+03
3.962436600000000180e+04,9.849176125218818925e+03
3.974936400000000140e+04,9.725808207541782394e+03
3.987436200000000099e+04,9.532392015174384142e+03
3.999936000000000058e+04,9.202347597242871416e+03
4.012435800000000017e+04,8.951328678502895855e+03
4.024935599999999977e+04,8.614901056926888486e+03
4.037435399999999936e+04,8.404661089715646085e+03
4.049935199999999895e+04,8.189996552578530100e+03
4.062434999999999854e+04,7.951724939866788191e+03
4.074934799999999814e+04,7.700037284474214175e+03
4.087434600000000501e+04,7.370395699125589090e+03
4.099934400000000460e+04,7.179268709536959250e+03
4.112434200000000419e+04,7.205174908308578779e+03
4.124934000000000378e+04,7.109363550978935564e+03
4.137433800000000338e+04,7.117067705406142522e+03
4.149933600000000297e+04,7.024095867556299709e+03
4.162433400000000256e+04,7.039944844249492235e+03
4.174933200000000215e+04,7.154703408327510260e+03
4.187433000000000175e+04,7.031363209155579170e+03
4.199932800000000134e+04,7.025279933141291622e+03
4.212432600000000093e+04,7.096756217578991709e+03
4.224932400000000052e+04,7.081835358232371618e+03
4.237432200000000012e+04,7.059011459880427537e+03
4.249931999999999971e+04,7.043713366499255244e+03
4.262431799999999930e+04,7.153646620911700666e+03
4.274931599999999889e+04,7.177714083647670122e+03
4.287431399999999849e+04,7.176620078159709010e+03
4.299931199999999808e+04,7.155530784656970354e+03
4.312431000000000495e+04,6.923372885013081032e+03
4.324930800000000454e+04,6.800871342861016274e+03
4.337430600000000413e+04,6.902994669835303284e+03
4.349930400000000373e+04,6.610939089680085999e+03
4.362430200000000332e+04,6.547347169765175749e+03
4.374930000000000291e+04,6.448716971573409865e+03
4.387429800000000250e+04,6.298314162560152909e+03
4.399929600000000210e+04,6.248693635313627055e+03
4.412429400000000169e+04,6.263588762605199008e+03
4.424929200000000128e+04,6.467115722243746859e+03
4.437429000000000087e+04,6.558441185108340505e+03
4.449928800000000047e+04,6.477682928137592171e+03
4.462428600000000006e+04,6.404154457185906722e+03
4.474928399999999965e+04,6.218421668975771354e+03
4.487428199999999924e+04,6.187943942259051255e+03
4.499927999999999884e+04,6.088858636139436385e+03
4.512427799999999843e+04,6.098426239557777080e+03
4.524927600000000530e+04,6.061649071983607428e+03
4.537427400000000489e+04,6.326767646092103860e+03
4.549927200000000448e+04,6.444142458435612753e+03
4.562427000000000407e+04,6.681704078671989919e+03
4.574926800000000367e+04,6.992044238238519938e+03
4.587426600000000326e+04,7.212029032190995167e+03
4.599926400000000285e+04,7.275042588533074195e+03
4.612426200000000244e+04,6.772577205108623275e+03
4.624926000000000204e+04,6.848039031337434608e+03
4.637425800000000163e+04,6.936207681190140647e+03
4.649925600000000122e+04,6.853887452766925890e+03
4.662425400000000081e+04,6.904679027468720960e+03
4.674925200000000041e+04,6.671446234955494219e+03
4.687425000000000000e+04,6.964943764474469390e+03
4.699924799999999959e+04,6.794587673384579830e+03
4.712424599999999919e+04,6.757298351662951063e+03
4.724924399999999878e+04,6.889452726540876938e+03
4.737424199999999837e+04,7.183185634894363830e+03
4.749924000000000524e+04,7.248848977364134043e+03
4.762423800000000483e+04,7.599649741539478782e+03
4.774923600000000442e+04,8.143497318907918270e+03
4.787423400000000402e+04,8.570089551720244344e+03
4.799923200000000361e+04,9.060344402950649965e+03
4.812423000000000320e+04,9.428004070870185387e+03
4.824922800000000279e+04,9.866454678484949909e+03
4.837422600000000239e+04,9.984389434312253798e+03
4.849922400000000198e+04,1.070073409840124259e+04
4.862422200000000157e+04,1.080842618270560524e+04
4.874922000000000116e+04,1.061368006104265987e+04
4.887421800000000076e+04,1.048618046109568240e+04
4.899921600000000035e+04,9.807924329814406519e+03
4.912421399999999994e+04,9.386782673741676263e+03
4.924921199999999953e+04,9.147568047244840272e+03
4.937420999999999913e+04,8.741183536758862829e+03
4.949920799999999872e+04,9.141070092773377837e+03
4.962420599999999831e+04,8.969898397760593070e+03
4.974920400000000518e+04,7.816065190335619263e+03
4.987420200000000477e+04,7.692605455739658282e+03
4.999920000000000437e+04,1.009501900194293012e+04
